,ALTRED COLLECTION DATE,COLLECTION DATE
0,2013-01-01,2013
1,2013-01-01,2013
2,2013-01-01,2013
3,2013-01-01,2013
4,2013-01-01,2013
5,2013-01-01,2013
6,2013-01-01,2013
7,2013-01-01,2013
8,2013-01-01,2013
9,2013-01-01,2013
10,2013-01-01,2013
11,2013-01-01,2013
12,2013-01-01,2013
13,2013-01-01,2013
14,2013-01-01,2013
15,2013-01-01,2013
16,2013-01-01,2013
17,2013-01-01,2013
18,2013-01-01,2013
19,2013-01-01,2013
20,2013-01-01,2013
21,2013-01-01,2013
22,2013-01-01,2013
23,2013-01-01,2013
24,2013-01-01,2013
25,2013-01-01,2013
26,2013-01-01,2013
27,2013-01-01,2013
28,2013-01-01,2013
29,2013-01-01,2013
30,2013-01-01,2013
31,2013-01-01,2013
32,2013-01-01,2013
33,2013-01-01,2013
34,2013-01-01,2013
35,2013-01-01,2013
36,2013-01-01,2013
37,2013-01-01,2013
38,2013-01-01,2013
39,2013-01-01,2013
40,2013-01-01,2013
41,2013-01-01,2013
42,2013-01-01,2013
43,2013-01-01,2013
44,2013-01-01,2013
65,2015-01-01,2015
66,2015-01-01,2015
67,2015-01-01,2015
68,2015-01-01,2015
69,2015-01-01,2015
70,2015-01-01,2015
71,2015-01-01,2015
72,2015-01-01,2015
73,2015-01-01,2015
74,2015-01-01,2015
75,2015-01-01,2015
76,2015-01-01,2015
77,2015-01-01,2015
78,2015-01-01,2015
79,2015-01-01,2015
80,2015-01-01,2015
81,2015-01-01,2015
82,2015-01-01,2015
83,2015-01-01,2015
84,2015-01-01,2015
85,2015-01-01,2015
86,2015-01-01,2015
87,2015-01-01,2015
88,2015-01-01,2015
89,2015-01-01,2015
90,2015-01-01,2015
91,2015-01-01,2015
92,2015-01-01,2015
93,2015-01-01,2015
94,2015-01-01,2015
95,2015-01-01,2015
96,2015-01-01,2015
97,2015-01-01,2015
98,2015-01-01,2015
99,2015-01-01,2015
100,2015-01-01,2015
101,2015-01-01,2015
102,2015-01-01,2015
199,2015-01-01,2015
200,2015-01-01,2015
201,2015-01-01,2015
202,2015-01-01,2015
203,2015-01-01,2015
204,2015-01-01,2015
205,2015-01-01,2015
206,2015-01-01,2015
207,2015-01-01,2015
208,2015-01-01,2015
209,2015-01-01,2015
210,2015-01-01,2015
211,2015-01-01,2015
212,2015-01-01,2015
213,2015-01-01,2015
214,2015-01-01,2015
215,2015-01-01,2015
216,2015-01-01,2015
217,2015-01-01,2015
218,2015-01-01,2015
219,2015-01-01,2015
220,2015-01-01,2015
221,2015-01-01,2015
222,2015-01-01,2015
223,2015-01-01,2015
224,2015-01-01,2015
225,2015-01-01,2015
226,2015-01-01,2015
227,2015-01-01,2015
228,2015-01-01,2015
229,2015-01-01,2015
230,2015-01-01,2015
231,2015-01-01,2015
232,2015-01-01,2015
233,2015-01-01,2015
234,2015-01-01,2015
235,2015-01-01,2015
236,2015-01-01,2015
237,2015-01-01,2015
238,2015-01-01,2015
239,2015-01-01,2015
240,2015-01-01,2015
241,2015-01-01,2015
242,2015-01-01,2015
243,2015-01-01,2015
244,2015-01-01,2015
245,2015-01-01,2015
246,2015-01-01,2015
247,2015-01-01,2015
248,2015-01-01,2015
249,2015-01-01,2015
264,2008-04-25,04/25/08
265,2008-04-25,04/25/08
266,2008-04-25,04/25/08
267,2008-04-25,04/25/08
268,2008-04-25,04/25/08
269,2008-04-25,04/25/08
270,2008-04-25,04/25/08
271,2008-04-25,04/25/08
272,2008-04-25,04/25/08
273,2008-04-25,04/25/08
274,2008-04-25,04/25/08
275,2008-04-25,04/25/08
276,2008-04-25,04/25/08
277,2008-04-25,04/25/08
278,2008-04-25,04/25/08
279,2008-04-25,04/25/08
280,2008-04-25,04/25/08
281,2008-04-25,04/25/08
282,2008-04-25,04/25/08
283,2008-04-25,04/25/08
284,2008-04-25,04/25/08
285,2008-04-25,04/25/08
286,2008-04-25,04/25/08
287,2008-04-25,04/25/08
288,2008-04-25,04/25/08
289,2008-04-25,04/25/08
290,2008-04-25,04/25/08
291,2008-04-25,04/25/08
292,2008-04-25,04/25/08
293,2008-04-25,04/25/08
294,2008-04-25,04/25/08
295,2008-04-25,04/25/08
